table_name,aoi_id,id,vendor_id,entity_id,vendor,platform,pixel_size_x,pixel_size_y,date,publish_date,geometry,sea_state_qual,sea_state_quant,shareable
EE,6,10400100476C3000,19FEB25160130-S2AS_R2C2-504979755020_01_P014,WV320190225160130OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.53348 42.025437, -70.53348 42.067708, -70.45547 42.067708, -70.45547 42.025437, -70.53348 42.025437))",,,
EE,6,104001004933C100,19MAR09155158-M1BS-503577655010_01_P001,WV320190309155158M00,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2019-10-03,"POLYGON((-70.630833 42.023889, -70.630833 42.163333, -70.4575 42.163333, -70.4575 42.023889, -70.630833 42.023889))",,,
EE,6,104001004933C100,19MAR09155158-P1BS-503577655010_01_P001,WV320190309155158P00,DIGITAL GLOBE,WORLDVIEW-3,0.0,0.0,2019-03-09,2019-10-03,"POLYGON((-70.630833 42.023889, -70.630833 42.163333, -70.457778 42.163333, -70.457778 42.023889, -70.630833 42.023889))",,,
EE,6,104001004933C100,19MAR09155158-S2AS_R1C2-504979757010_01_P001,WV320190309155158OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.533846 42.090409, -70.533846 42.165158, -70.455932 42.165158, -70.455932 42.090409, -70.533846 42.090409))",,,
EE,6,104001004933C100,19MAR09155158-S2AS_R2C2-504979757010_01_P001,WV320190309155158OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.532068 42.072164, -70.532068 42.091376, -70.457449 42.091376, -70.457449 42.072164, -70.532068 42.072164))",,,
EE,6,104001004933C100,19MAR09155159-S2AS_R1C2-504979757010_01_P002,WV320190309155159OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.533874 42.035417, -70.533874 42.110163, -70.456192 42.110163, -70.456192 42.035417, -70.533874 42.035417))",,,
EE,6,104001004933C100,19MAR09155159-S2AS_R2C2-504979757010_01_P002,WV320190309155159OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.532099 42.007052, -70.532099 42.036382, -70.457398 42.036382, -70.457398 42.007052, -70.532099 42.007052))",,,
EE,6,104001004933C100,19MAR09155200-M1BS-503577655010_01_P002,WV320190309155200M00,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2019-10-03,"POLYGON((-70.630556 41.913889, -70.630556 42.063056, -70.457778 42.063056, -70.457778 41.913889, -70.630556 41.913889))",,,
EE,6,104001004933C100,19MAR09155200-P1BS-503577655010_01_P002,WV320190309155200P00,DIGITAL GLOBE,WORLDVIEW-3,0.0,0.0,2019-03-09,2019-10-03,"POLYGON((-70.630556 41.913889, -70.630556 42.063056, -70.458056 42.063056, -70.458056 41.913889, -70.630556 41.913889))",,,
EE,6,104001004933C100,19MAR09155200-S2AS_R1C2-504979757010_01_P003,WV320190309155200OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.533707 41.970267, -70.533707 42.045009, -70.456439 42.045009, -70.456439 41.970267, -70.533707 41.970267))",,,
